,SKI_ID,Ski_Long,Ski_Lat,NCA,STATE,NAME,SnotelID,Snotel_dist_km,Snotel_elev,ref mean SMD,ref std SMD,1920 mean SMD,1920 std SMD,1920 percent loss SMD,1930 mean SMD,1930 std SMD,1930 percent loss SMD,1940 mean SMD,1940 std SMD,1940 percent loss SMD,1950 mean SMD,1950 std SMD,1950 percent loss SMD,1960 mean SMD,1960 std SMD,1960 percent loss SMD,1970 mean SMD,1970 std SMD,1970 percent loss SMD,1980 mean SMD,1980 std SMD,1980 percent loss SMD,1990 mean SMD,1990 std SMD,1990 percent loss SMD,2000 mean SMD,2000 std SMD,2000 percent loss SMD,2010 mean SMD,2010 std SMD,2010 percent loss SMD,2020 mean SMD,2020 std SMD,2020 percent loss SMD,2030 mean SMD,2030 std SMD,2030 percent loss SMD,2040 mean SMD,2040 std SMD,2040 percent loss SMD,2050 mean SMD,2050 std SMD,2050 percent loss SMD,2060 mean SMD,2060 std SMD,2060 percent loss SMD,2070 mean SMD,2070 std SMD,2070 percent loss SMD,2080 mean SMD,2080 std SMD,2080 percent loss SMD,2090 mean SMD,2090 std SMD,2090 percent loss SMD,2100 mean SMD,2100 std SMD,2100 percent loss SMD
154,1157,-74.23914851,44.75527804,Northeast,NEW YORK,Titus Mountain Ski Area,785,2201.15673917,,100.19,1.79,106.42,9.72,0.06,106.98,11.59,0.07,108.0,10.29,0.08,109.15,12.09,0.09,108.0,10.39,0.08,107.72,11.3,0.08,106.88,10.81,0.07,101.75,11.98,0.02,102.95,11.73,0.03,96.25,12.01,0.04,95.98,13.74,0.04,89.55,10.76,0.11,85.18,14.34,0.15,78.95,11.83,0.21,70.6,10.62,0.3,64.62,14.32,0.35,60.1,8.84,0.4,56.32,11.08,0.44,47.35,12.73,0.53
155,1158,-75.96176757,42.82544365,Northeast,NEW YORK,Toggenberg Ski Area,785,2111.27629951,,75.57,1.41,81.3,10.87,0.08,80.6,12.52,0.07,82.25,11.41,0.09,86.38,11.96,0.14,84.35,12.64,0.12,84.38,11.4,0.12,82.0,12.03,0.09,74.97,12.43,0.01,78.68,11.96,0.04,71.75,13.38,0.05,68.22,14.0,0.1,64.25,9.98,0.15,58.1,12.89,0.23,54.35,10.82,0.28,47.4,11.01,0.37,41.68,11.57,0.45,36.72,9.08,0.51,35.02,11.5,0.54,26.9,12.74,0.64
156,1159,-73.73463618,43.28817956,Northeast,NEW YORK,West Mountain Ski Area,785,2266.64090992,,83.99,1.15,89.7,10.35,0.07,89.02,11.32,0.06,91.12,10.37,0.08,93.98,10.9,0.12,90.75,10.91,0.08,91.45,10.38,0.09,90.68,10.42,0.08,84.52,11.83,0.01,86.75,10.91,0.03,79.75,12.21,0.05,77.22,12.56,0.08,72.6,10.01,0.14,68.28,13.54,0.19,61.7,11.76,0.27,56.38,10.6,0.33,50.98,12.44,0.39,46.0,8.49,0.45,43.92,10.43,0.48,35.3,12.46,0.58
157,1160,-73.88590914,44.36256952,Northeast,NEW YORK,White Face Mountain Ski Area,785,2233.61645966,,113.77,1.96,119.4,9.49,0.05,120.9,10.6,0.06,121.08,8.68,0.06,122.6,11.02,0.08,122.18,10.02,0.07,120.88,10.73,0.06,120.0,10.08,0.05,116.4,11.34,0.02,117.02,11.27,0.03,109.8,10.42,0.03,108.65,12.55,0.05,102.35,9.69,0.1,98.5,14.18,0.13,92.2,11.76,0.19,84.22,11.09,0.26,77.65,14.03,0.32,72.1,8.96,0.37,68.7,10.52,0.4,58.48,13.74,0.49
158,1161,-74.25619341,42.29144653,Northeast,NEW YORK,Windham Ski Area,785,2253.18527414,,89.81,1.15,95.8,10.19,0.07,95.6,10.65,0.06,97.88,10.11,0.09,98.68,11.41,0.1,98.35,10.95,0.1,97.3,10.32,0.08,95.88,9.51,0.07,91.18,11.48,0.02,92.7,11.59,0.03,85.3,11.38,0.05,82.5,12.8,0.08,78.53,8.54,0.13,73.32,13.44,0.18,67.22,11.76,0.25,60.88,10.88,0.32,56.5,12.27,0.37,50.52,9.38,0.44,48.5,10.61,0.46,39.98,11.9,0.55
159,1162,-81.56610117,41.26417819,Midwest,OHIO,Boston Mills Ski Area,785,1735.88783388,,57.17,1.82,62.4,10.05,0.09,62.2,13.51,0.09,63.42,11.35,0.11,66.92,13.5,0.17,64.58,14.25,0.13,65.78,12.24,0.15,62.68,11.75,0.1,56.22,13.17,0.02,59.05,14.81,0.03,52.98,12.39,0.07,49.75,12.62,0.13,46.42,10.02,0.19,40.75,12.62,0.29,37.6,11.08,0.34,31.95,9.59,0.44,27.38,9.07,0.52,23.9,8.69,0.58,20.52,9.56,0.64,13.72,8.82,0.76
160,1163,-83.67528187,40.31594182,Midwest,OHIO,Valley Hi Ski Area,785,1614.01846392,,56.73,1.83,60.15,9.68,0.06,61.62,11.53,0.09,61.7,10.4,0.09,64.58,12.13,0.14,62.02,13.66,0.09,64.97,10.84,0.15,60.22,10.72,0.06,56.15,11.24,0.01,58.2,12.23,0.03,53.88,11.45,0.05,49.42,11.45,0.13,47.72,8.34,0.16,43.25,11.2,0.24,40.08,10.0,0.29,34.3,8.99,0.4,30.7,9.01,0.46,27.22,8.09,0.52,25.22,9.95,0.56,18.08,8.19,0.68
161,1164,-118.23982244,44.96132493,Northwest,OREGON,Anthony Lakes Ski Area,783,13.79148794,,93.38,3.98,100.8,15.55,0.08,99.4,15.65,0.06,99.38,15.96,0.06,97.6,18.89,0.05,99.4,19.26,0.06,104.0,14.28,0.11,93.3,18.99,0.0,95.9,15.29,0.03,96.38,18.91,0.03,87.98,17.41,0.06,83.02,17.25,0.11,77.45,18.59,0.17,68.35,16.42,0.27,60.98,16.29,0.35,48.55,13.48,0.48,45.95,18.5,0.51,38.3,12.08,0.59,29.6,11.92,0.68,26.92,12.08,0.71
162,1165,-121.60692094,45.4106006,Northwest,OREGON,Cooper Spur Ski Area,758,8.78092035,,39.65,1.61,44.42,11.95,0.12,40.88,13.84,0.03,41.5,12.66,0.05,40.15,14.03,0.01,41.05,14.98,0.04,43.45,12.17,0.1,39.65,12.99,0.0,39.58,13.92,0.0,41.7,14.24,0.05,35.3,12.69,0.11,32.15,14.14,0.19,32.05,15.25,0.19,27.55,12.3,0.31,25.2,10.05,0.36,18.0,9.41,0.55,19.1,14.82,0.52,13.52,7.01,0.66,11.48,8.12,0.71,10.48,7.52,0.74
163,1166,-121.88000746,44.40447883,Northwest,OREGON,Hoodoo Ski Area,734,2.28446593,,51.77,2.31,57.75,12.56,0.12,54.25,15.22,0.05,54.45,14.05,0.05,52.85,16.03,0.02,54.5,17.01,0.05,57.02,12.38,0.1,50.52,16.28,0.02,52.85,15.72,0.02,55.32,16.11,0.07,45.55,16.02,0.12,42.58,15.56,0.18,40.8,18.16,0.21,34.3,13.72,0.34,31.22,12.58,0.4,22.1,10.13,0.57,22.58,15.68,0.56,16.38,7.89,0.68,12.55,7.93,0.76,11.75,8.33,0.77
